y’all,412
public,412
adults,412
god,412
deadly,412
hi,412
needs,409
mad,409
ginger,407
safe?,407
old,406
plan,406
deaths,406
didn’t,405
sore,405
boss,403
apart,403
!,402
learn,402
gotta,401
talking,401
honey,400
f…,400
especially,400
fever,397
swine,396
officials,393
headache?,391
...,390
penis,390
pregnant,390
"shot,",390
lungs,389
"well,",387
ease,387
weeks,387
breathe,386
asked,386
@cdcgov,385
her:,384
s…,384
fluid,384
avoid,383
"relationship

me:",383
https://t.co/0u8xnxtyh2,383
"tumor
lack",382
@biisi96:,382
"coffee
stress
brain",382
"either:

dehydration
too",382
@proxactears:,381
dr,381
caught,381
i'll,379
rn,379
:,378
turn,377
o…,377
talk,373
26,371
child,371
lost,369
clause,369
catch,369
gone,368
there’s,368
eat,367
"world,",367
seattle,367
“you’re,366
medley,365
"controversies,",365
kill,365
overlook,365
las,364
vai,364
muito,364
doctor,364
university,363
@stevebenen:,363
patients,363
proposing,361
friends,361
reasons,360
december,360
@unkle_k:,359
major,359
drown,359
blood,359
https://t.co/i1xdbw5kgy,359
bitch,358
"cold,",357
"me,”",356
muttered,356
motto:,356
ser,356
holiday,356
game,356
soothing,355
@radiofreetom:,355
https://t.co/4lyqm2bx6b,355
e…,355
forget,354
#…,354
w…,354
end,352
trust,351
live,351
increased,351
maybe,351
remember,350
common,350
les,348
times,348
make.,348
christmas,347
final,347
week!,347
"walk,",344
pelo,344
truth,344
explosive,343
🍵,343
rest,342
eyes,341
huge,341
https://t.co/hvttjtuv…,340
global,340
meu,339
hands,338
throat,337
nap,337
pq,336
event,336
watch,335
step,335
du,333
nose,332
early,332
clean,331
mouth,330
"money,",330
já,330
thinking,330
vaccine.,329
states,329
@thetiptoefairy:,328
c…,328
#health,328
brain,328
parents,327
dos,327
situation,325
room,325
ao,324
#flushot,324
highlighting,324
?,324
tired,323
tomorrow,322
/,322
bisa,322
left,321
spreading,320
severe,320
w,320
@hhsgov:,320
now.,318
@realdonaldtrump,318
plus,318
to…,318
continue,318
lead,317
p…,317
"favors,fuck",316
"bullshitting,keep",316
bullshitting.,316
terrible,316
@___kweenin:,315
reduces,315
makin…,315
@theeconomist:,314
started,314
person,313
interesting,313
tips,312
isn't,311
data,311
caused,311
und,310
bring,310
comes,310
receiving,308
vaccinate,308
despite,307
catching,307
accidentally,307
dont,307
nan,306
post,305
guys,303
v…,303
washing,303
flu!,303
explaining,302
hell,302
diarrhea.,302
didn't,302
cure,301
https://t.co/u1sdiqejtq,301
@reactionroll:,300
migraine,299
second,299
b…,299
horrible,298
es,298
todo,297
dying,295
suffering,295
visit,295
ago,295
staff,294
begins,293
latest,293
bla,292
away🖤,292
food,292
i’ll,292
"zika,",292
headache...lotti,292
"speak,",291
d,291
@juiceworlddd:,291
recently,290
jogo,290
"cough,",290
"diarrhea,",290
"a

torcedores",289
"idolo,",289
patient,289
fred:,289
@massa_tricolor:,288
question,288
working,288
medicine,287
coisas,287
dumb,287
finally,287
até,287
half,287
sexual,286
@jnjcares,285
workers,285
pretty,285
pressure,284
@glblctzn,284
jump,283
yesterday,282
ne,281
bringing,281
birthday,281
reported,281
wasting,280
speak,280
guess,280
aphrodisiacs,279
d…,279
minutes,279
save,279
everyone.,279
shot!,279
democratic,279
yes,279
government,278
foreplay,277
including,277
@quojoclaude:,276
doesn't,276
here's,276
republic,276
wish,276
house,276
given,275
wants,275
dr.,275
hey,275
face,274
outbreaks,274
wonder,274
tonight,274
you.,273
hot,273
mom,273
effective,273
imagine,273
starting,271
:(,271
ni,270
ok,270
win,270
looks,270
ugh,269
illness,269
cursed,269
poised,268
fact,267
hour,267
north,267
8,266
woman,266
amazing,266
movement,266
there's,265
coffee,265
au,264
beat,264
sa,263
means,263
study,262
nada,262
11,261
comeback,261
@etourvol:,261
pandemic,259
job,259
fan,259
me:,259
e.,259
stream,258
saying,258
blamed,258
2019,257
dog,257
safe,257
wait,257
vc,257
minum,257
called,257
country,256
dans,256
cough,256
red,255
tweet,255
bit,254
natural,254
developing,254
young,254
😂😂😂,253
difference.,253
foto,253
hack,253
definitely,252
stupid,252
goes,252
coli,251
mt,250
verbal,250
🤧,249
article,249
lmao,249
adds,249
cool,249
mark,248
hits,248
advice,248
resenha,247
team,247
waking,247
fear,247
doesn’t,247
leave,246
this.,246
spreads,246
spend,245
😷,245
point,245
passport,244
favorite,244
voice,244
soon,243
intensity,243
reduce,243
essa,243
rid,242
won’t,242
far,241
@laurie_garrett:,241
https://t.co/ptcfvguedp,240
cos,240
tirar,239
marriott,239
https://t.co/4ncrwyp…,239
total,239
remote,239
twitter,238
wow,238
regards,238
sind,238
bug,237
walk,237
older,237
minha,237
#trump,236
cent,236
contra,236
clinic,235
shot?,234
hear,234
🙄,234
"virus,",234
ini,234
vou,234
pick,234
shot…,233
c,233
small,233
hand,232
yeah,232
#drc,232
jadi,231
headache!,231
people.,230
quem,230
lettuce,230
straight,230
send,229
20,229
tá,228
super,228
gp,228
u…,227
20th,226
des,226
control,225
cured,224
sounds,224
doctors,224
crazy,223
kind,223
wipes,223
kamu,223
54,222
1918,222
você,222
está,222
fighting,222
he’s,222
headache...,221
"games,",221
caffeine,221
law,221
film,220
year.,220
rates,220
nah,219
@martinfayulu,218
spread?,218
pas,218
telling,218
"goals,",218
experts,217
50m,217
@nhsenglandnorth:,217
🤒,217
importance,217
company,216
century.,216
antibacterial,216
vaccine?,215
count?,215
ainda,215
dead,215
wo…,215
debate,214
100,214
"today,",214
liberation,214
https://t.co/greg24ptoa,213
ashamed,213
prevention,213
#fightflu,213
hurts,213
lagi,212
@samcoatestimes:,212
jogador,212
brexit,212
@oloni:,212
=,211
holidays.,211
horror,211
yet?,211
cara,210
beef,210
salt,210
falou,210
infection,210
city,209
receive,209
trump's,209
list,209
listen,209
dies,208
day.,208
united,208
nurse,207
#ad,207
#drcongo,207
menos,207
ive,207
"it,",207
flu…,207
character,206
sea,206
bro,206
fun,206
different,206
ou,206
bios,205
‘n,205
air,205
facing,204
ano,204
protection,204
story,204
kurang,204
finals,203
causes,203
@cherryguts:,203
"ebola,",203
https://t.co/hte6e7ds86,203
ill,203
#influenza,203
son,203
local,202
yang,202
age,202
dear,202
estimated,202
melhor,202
playing,201
decisions,201
isolated,201
class,201
pill,201
'anti-vax',201
#vaccine,200
@,200
come…,199
죽인,198
fat,198
felt,198
stands,198
album,197
contou,197
viruses,197
fake,197
wash,197
report,196
tm,196
sick.,196
pour,196
"work,",196
48,196
12,196
